Channel,Vehicle,age_min,age_max,gender,concat,a,b,c
Naver,네이버동영상,60,64,M,Naver네이버동영상M6064,-3.267778555,0.811766409,0.38
Naver,네이버동영상,50,54,F,Naver네이버동영상F5054,-3.179645071,0.846725023,0.36
Naver,네이버동영상,60,64,F,Naver네이버동영상F6064,-3.267778555,0.811766409,0.38
Naver,롤링보드,55,59,M,Naver롤링보드M5559,-5.30829382,0.85803,0.904400208
Naver,롤링보드,65,69,M,Naver롤링보드M6569,-5.30829382,0.85803,0.898266324
Naver,롤링보드,55,59,F,Naver롤링보드F5559,-5.30829382,0.85803,0.868671745
Naver,롤링보드,65,69,F,Naver롤링보드F6569,-5.30829382,0.85803,0.851658349
Naver,롤링보드,7,12,M,Naver롤링보드M712,-5.307965501,0.85801,0.830206364
Naver,롤링보드,13,18,M,Naver롤링보드M1318,-5.307965501,0.85801,0.878159203
Naver,롤링보드,19,24,M,Naver롤링보드M1924,-5.307965501,0.85801,0.834218813
Naver,롤링보드,25,29,M,Naver롤링보드M2529,-5.307965501,0.85801,0.877246833
Naver,롤링보드,30,34,M,Naver롤링보드M3034,-5.307965501,0.85801,0.885358768
Naver,롤링보드,35,39,M,Naver롤링보드M3539,-5.307965501,0.85801,0.872336176
Naver,롤링보드,40,44,M,Naver롤링보드M4044,-5.307965501,0.85801,0.869919556
Naver,롤링보드,45,49,M,Naver롤링보드M4549,-5.307965501,0.85801,0.896166116
Naver,롤링보드,7,12,F,Naver롤링보드F712,-5.307965501,0.85801,0.814223917
Naver,롤링보드,13,18,F,Naver롤링보드F1318,-5.307965501,0.85801,0.824877524
Naver,롤링보드,19,24,F,Naver롤링보드F1924,-5.307965501,0.85801,0.848989765
Naver,롤링보드,25,29,F,Naver롤링보드F2529,-5.307965501,0.85801,0.900907665
Naver,롤링보드,30,34,F,Naver롤링보드F3034,-5.307965501,0.85801,0.861871712
Naver,롤링보드,35,39,F,Naver롤링보드F3539,-5.307965501,0.85801,0.881894084
Naver,롤링보드,40,44,F,Naver롤링보드F4044,-5.307965501,0.85801,0.913112359
Naver,롤링보드,45,49,F,Naver롤링보드F4549,-5.307965501,0.85801,0.910764933
Naver,롤링보드,50,54,M,Naver롤링보드M5054,-5.30829382,0.85803,0.904400208
Naver,롤링보드,60,64,M,Naver롤링보드M6064,-5.30829382,0.85803,0.898266324
Naver,롤링보드,50,54,F,Naver롤링보드F5054,-5.30829382,0.85803,0.868671745
Naver,롤링보드,60,64,F,Naver롤링보드F6064,-5.30829382,0.85803,0.851658349
Naver,브랜딩DA,55,59,M,Naver브랜딩DAM5559,-4.847273381,0.91636,0.904400208
Naver,브랜딩DA,65,69,M,Naver브랜딩DAM6569,-4.847273381,0.91636,0.898266324
Naver,브랜딩DA,55,59,F,Naver브랜딩DAF5559,-4.847273381,0.91636,0.868671745
Naver,브랜딩DA,65,69,F,Naver브랜딩DAF6569,-4.847273381,0.91636,0.851658349
Naver,브랜딩DA,7,12,M,Naver브랜딩DAM712,-4.847273381,0.91636,0.830206364
Naver,브랜딩DA,13,18,M,Naver브랜딩DAM1318,-4.847273381,0.91636,0.878159203
Naver,브랜딩DA,19,24,M,Naver브랜딩DAM1924,-4.847273381,0.91636,0.834218813
Naver,브랜딩DA,25,29,M,Naver브랜딩DAM2529,-4.847273381,0.91636,0.877246833
Naver,브랜딩DA,30,34,M,Naver브랜딩DAM3034,-4.847273381,0.91636,0.885358768
Naver,브랜딩DA,35,39,M,Naver브랜딩DAM3539,-4.847273381,0.91636,0.872336176
Naver,브랜딩DA,40,44,M,Naver브랜딩DAM4044,-4.847273381,0.91636,0.869919556
Naver,브랜딩DA,45,49,M,Naver브랜딩DAM4549,-4.847273381,0.91636,0.896166116
Naver,브랜딩DA,7,12,F,Naver브랜딩DAF712,-4.847273381,0.91636,0.814223917
Naver,브랜딩DA,13,18,F,Naver브랜딩DAF1318,-4.847273381,0.91636,0.824877524
Naver,브랜딩DA,19,24,F,Naver브랜딩DAF1924,-4.847273381,0.91636,0.848989765
Naver,브랜딩DA,25,29,F,Naver브랜딩DAF2529,-4.847273381,0.91636,0.900907665
Naver,브랜딩DA,30,34,F,Naver브랜딩DAF3034,-4.847273381,0.91636,0.861871712
Naver,브랜딩DA,35,39,F,Naver브랜딩DAF3539,-4.847273381,0.91636,0.881894084
Naver,브랜딩DA,40,44,F,Naver브랜딩DAF4044,-4.847273381,0.91636,0.913112359
Naver,브랜딩DA,45,49,F,Naver브랜딩DAF4549,-4.847273381,0.91636,0.910764933
Naver,브랜딩DA,50,54,M,Naver브랜딩DAM5054,-4.847273381,0.91636,0.904400208
Naver,브랜딩DA,60,64,M,Naver브랜딩DAM6064,-4.847273381,0.91636,0.898266324
Naver,브랜딩DA,50,54,F,Naver브랜딩DAF5054,-4.847273381,0.91636,0.868671745
Naver,브랜딩DA,60,64,F,Naver브랜딩DAF6064,-4.847273381,0.91636,0.851658349
Naver,스페셜DA,55,59,M,Naver스페셜DAM5559,-4.66309063,0.93513,0.904400208
